#{"t_start": 1735472402.996855, "env_id": "None"}
r,l,t
614.419974,230,140.178851
577.746847,230,140.580743
-125370.143897,230,140.98177
586.841571,230,141.400205
609.105475,230,141.850369
635.232856,230,142.321114
634.196271,230,142.735271
637.672177,230,143.121445
599.139537,230,144.440909
-125371.766156,230,144.824246
-125389.356541,230,145.205297
641.14522,230,145.633771
563.805208,230,146.030628
-251377.85747,230,146.427646
-125367.706864,230,146.817269
643.63522,230,147.209898
-125382.955947,230,147.606806
-125360.20171,230,149.000344
-125361.759904,230,149.414686
663.176075,230,151.723184
-125387.52421,230,152.109713
-125323.320156,230,152.501028
629.579278,230,152.896207
-125396.335892,230,153.290602
-125307.746225,230,153.700046
648.406476,230,154.15537
644.560243,230,155.871153
681.883515,230,156.287474
667.400053,230,156.755629
569.417933,230,157.20707
600.660058,230,157.600504
-125373.825131,230,157.998434
-125373.313094,230,158.408893
633.163694,230,158.85192
-125399.649752,230,159.246894
649.872739,230,160.716031
-125290.468642,230,161.106543
625.185284,230,161.500748
610.991231,230,162.106652
669.275674,230,162.496843
692.348427,230,162.893452
730.619683,230,163.280049
653.480263,230,163.680802
677.349298,230,165.022501
654.522547,230,165.411654
658.732503,230,165.824399
612.690724,230,166.220717
648.159009,230,166.618766
655.486015,230,167.026964
-125360.832121,230,167.419542
637.848246,230,167.81131
666.720669,230,168.200556
-125411.876004,230,169.546085
693.608778,230,169.938637
692.0611,230,170.321918
713.452806,230,170.704025
655.843218,230,171.087884
659.280157,230,171.479453
657.613696,230,171.882662
637.153993,230,172.275407
627.166535,230,172.66357
661.023946,230,174.09769
-125382.421985,230,174.487216
615.819915,230,176.924847
641.015516,230,177.326125
624.236809,230,177.716552
637.611236,230,178.109382
663.824213,230,178.51437
644.990874,230,178.946666
626.219128,230,179.33568
648.288722,230,180.68308
623.613033,230,181.077585
-125343.736353,230,181.470719
680.178121,230,181.857531
-251288.193617,230,182.242826
614.52825,230,182.64181
619.652185,230,183.057289
714.822827,230,183.463294
627.44906,230,183.874471
698.012867,230,185.212301
645.903236,230,185.603321
668.64391,230,185.994007
735.678908,230,186.393837
668.697359,230,186.785331
-125305.091542,230,187.202896
712.321314,230,187.586187
703.059553,230,187.979695
645.460055,230,188.38137
664.559251,230,190.267814
722.103687,230,190.684158
-125355.145426,230,191.079471
676.371473,230,191.471618
-125356.868213,230,191.860705
618.483209,230,192.260751
687.524243,230,192.648984
632.051439,230,193.044735
648.870348,230,193.435195
686.543506,230,194.911612
713.336931,230,195.35873
-125311.561927,230,195.78563
645.365579,230,196.186685
-125312.952202,230,196.57653
706.892625,230,196.96803
667.4665,230,197.359903
666.228114,230,197.753212
613.921485,230,198.339986
597.332035,230,201.987437
623.700618,230,202.498175
598.249333,230,202.966725
707.516879,230,203.443564
711.134183,230,203.878914
674.147833,230,204.295581
-125344.425481,230,204.705616
664.80692,230,205.100458
718.035457,230,205.487749
647.164501,230,207.496214
-125301.695326,230,207.928449
647.030358,230,208.347429
670.000783,230,208.803931
629.950624,230,209.21462
693.076685,230,209.620317
662.712241,230,210.022984
673.372311,230,210.422451
640.585807,230,210.820032
-125331.987887,230,212.309508
708.699011,230,212.719843
665.34115,230,213.185314
686.563409,230,213.586418
653.398074,230,214.001178
728.709524,230,214.502198
637.841605,230,214.921121
676.420272,230,215.326287
701.100843,230,216.824128
644.530353,230,217.254085
657.819701,230,217.644427
662.198705,230,218.028298
699.426454,230,218.422627
-125364.820299,230,218.821231
652.824431,230,219.236083
646.988863,230,219.628191
681.7801,230,220.01282
-125292.577442,230,221.363772
724.629316,230,221.759854
593.218512,230,222.148968
688.68418,230,222.540303
574.317266,230,222.922642
638.216267,230,223.311475
648.455217,230,223.727846
647.879798,230,224.128521
679.686155,230,224.525377
-125339.476714,230,227.939098
604.182981,230,228.341968
637.609113,230,228.992567
680.8152,230,229.397471
650.291154,230,229.807002
640.784026,230,230.207601
619.055593,230,230.630086
604.913682,230,231.051709
634.00032,230,231.485287
635.772581,230,233.021903
605.918142,230,233.535558
-125373.971956,230,233.963343
663.428888,230,234.386142
649.020432,230,234.83781
632.980588,230,235.267044
635.326084,230,235.67968
701.134953,230,236.09931
619.97923,230,236.526182
643.895629,230,238.26596
618.070453,230,238.685074
591.893752,230,239.099725
689.936035,230,239.528361
-125341.301196,230,239.948674
-125306.55751,230,240.361989
637.558768,230,240.788372
597.719163,230,241.20525
691.485149,230,241.621563
701.30147,230,243.199537
640.873192,230,243.642285
613.403282,230,244.057777
669.71835,230,244.49372
624.836585,230,244.913407
661.868503,230,245.343079
688.618682,230,245.769822
647.993745,230,246.240822
649.067293,230,246.755426
608.145849,230,248.576618
626.33987,230,248.992951
627.659427,230,249.442111
661.223079,230,249.854086
663.404183,230,250.270632
623.673103,230,250.72735
715.88711,230,251.147468
663.847672,230,253.618105
650.098287,230,254.040915
